x,y,stress_mag
6.567321603652410467e+00,4.466722159430378980e+00,6.513866886186481242e-02
6.731156624341095629e+00,4.470379973481350078e+00,6.531096944730374609e-02
6.894995042170577015e+00,4.473882322765536657e+00,6.549432576131798689e-02
7.058836706563961449e+00,4.477229192036548788e+00,6.565817488106839850e-02
7.222681473499906524e+00,4.480420566743839039e+00,6.582684563531281119e-02
7.386529193983009556e+00,4.483456432793477831e+00,6.597859890987042841e-02
7.550379722236100655e+00,4.486336776711938867e+00,6.615882868125171068e-02
7.714232914934958885e+00,4.489061585618506101e+00,6.633613261862496280e-02
7.878088620470743209e+00,4.491630847050406494e+00,6.651384403524673861e-02
8.041946688750144290e+00,4.494044549141895217e+00,6.652609266894247975e-02
8.205806974786257868e+00,4.496302680664886253e+00,6.655752744755487338e-02
8.369669330128170159e+00,4.498405230898850249e+00,6.635497251771818594e-02
8.533533608013495808e+00,4.500352189706075201e+00,6.609205049132593768e-02
8.697399663556620197e+00,4.502143547525663259e+00,6.551363781747394921e-02
8.861267346310578219e+00,4.503779295293930396e+00,6.494566865631490327e-02
9.025136506693982597e+00,4.505259424525860368e+00,6.412825401928570757e-02
9.189006998849995611e+00,4.506583927332780348e+00,6.319304904239674003e-02
9.352878674645859647e+00,4.507752796364757231e+00,6.225261429518107875e-02
9.516751386684427771e+00,4.508766024838625874e+00,6.138942532481229258e-02
9.680624988852006396e+00,4.509623606537137341e+00,6.089117724203871318e-02
9.844499331654523289e+00,4.510325535785141504e+00,6.049938434413468236e-02
1.000837426606044822e+01,4.510871807476640960e+00,6.072903357667039370e-02
1.017224964542949017e+01,4.511262417076316034e+00,6.110675149164006975e-02
1.033612532182865884e+01,4.511497360604662887e+00,6.181928659972567297e-02
1.050000114746897850e+01,4.511576634644162809e+00,6.256622523693650129e-02
1.066387697524015898e+01,4.511500236338135572e+00,6.332640515654865132e-02
1.082775265649421748e+01,4.511268163391714658e+00,6.402394675102070221e-02
1.099162804279661110e+01,4.510880414074207145e+00,6.442224987108058354e-02
1.115550298680119568e+01,4.510336987214786042e+00,6.479513767962744031e-02
1.131937734072494273e+01,4.509637882204567738e+00,6.498155253066908998e-02
1.148325095656165473e+01,4.508783098997489525e+00,6.514427366664354846e-02
1.164712368637274054e+01,4.507772638109458718e+00,6.512876902660603984e-02
1.181099538231290147e+01,4.506606500617853506e+00,6.514368016231743275e-02
1.197486589660064205e+01,4.505284688161341755e+00,6.512497856253787742e-02
1.213873508125277745e+01,4.503807202942114785e+00,6.512585751470126305e-02
1.230260278861563883e+01,4.502174047721311467e+00,6.511479930190625098e-02
1.246646887061131892e+01,4.500385225826049052e+00,6.515967281679946321e-02
1.263033317861695970e+01,4.498440741152940348e+00,6.518249271264871247e-02
1.279419556557084547e+01,4.496340598142698930e+00,6.519861781750831142e-02
1.295805588440936340e+01,4.494084801794982376e+00,6.506966111763771987e-02
1.312191398657233954e+01,4.491673357691121637e+00,6.494393972369130741e-02
1.328576972450483318e+01,4.489106271960854322e+00,6.454148902097169016e-02
1.344962295021272247e+01,4.486383551302230543e+00,6.409306365131023364e-02
1.361347351454765686e+01,4.483505202996610706e+00,6.335407675919238479e-02
1.377732127119755035e+01,4.480471234838359074e+00,6.255052004379947628e-02
1.394116607389024232e+01,4.477281655177134390e+00,6.161627661768669800e-02
1.410500777353973945e+01,4.473936472977322332e+00,6.070773240512972874e-02
1.426884622261002100e+01,4.470435697736079739e+00,6.007948687183965047e-02
1.443268127339522344e+01,4.466779339515172254e+00,5.957384619506640028e-02
1.459651277643421885e+01,4.462967408979413797e+00,5.950012045642971703e-02
1.476034058607637078e+01,4.458999917267564506e+00,5.952401613624343224e-02
1.492416455692337252e+01,4.454876876065465119e+00,5.981397488241223942e-02
1.508798453940543993e+01,4.450598297722469177e+00,6.009216895272921632e-02
1.525180038583771136e+01,4.446164195104437944e+00,6.016242621089606946e-02
1.541561194909465904e+01,4.441574581622547591e+00,6.012838898357776574e-02
1.557941907970819173e+01,4.436829471316051432e+00,5.978874616002783499e-02
1.574322163250748297e+01,4.431928878661598681e+00,5.934318243666434484e-02
1.590701946305943260e+01,4.426872818664373987e+00,5.854194214075036234e-02
1.607081242134304233e+01,4.421661307058836421e+00,5.767390638031989758e-02
1.623460035923020328e+01,4.416294360086574500e+00,5.664509115238492570e-02
1.639838313059395247e+01,4.410771994483587477e+00,5.553428734337168687e-02
1.656216058639735067e+01,4.405094227643354010e+00,5.426362005831422003e-02
1.672593258163484009e+01,4.399261077380096197e+00,5.291643171041079258e-02
1.688969897293921107e+01,4.393272561998256442e+00,5.147992117949274499e-02
1.705345960986093701e+01,4.387128700616011123e+00,4.989934468964946079e-02
1.721721434336928525e+01,4.380829512867822295e+00,4.807206172444253994e-02
1.738096302891841916e+01,4.374375018775372936e+00,4.606280761929515410e-02
1.754470551851195381e+01,4.367765239050326542e+00,4.380086275140843144e-02
1.770844166682300624e+01,4.361000194854921297e+00,4.131139423284909545e-02
1.787217133166069871e+01,4.354079907769325963e+00,3.853465889599265448e-02
1.803589436215909814e+01,4.347004400292750148e+00,3.569493435844457024e-02
1.819961060772281058e+01,4.339773695485273031e+00,3.301692393716326029e-02
1.836331992617157383e+01,4.332387816595201890e+00,3.112116358755623313e-02
1.852702217136927842e+01,4.324846787594832875e+00,3.100539159012922694e-02
1.869071719696994194e+01,4.317150633021294759e+00,3.410251139607903270e-02
1.885440486207970423e+01,4.309299377703247558e+00,4.135884089991977153e-02
1.901808501541723473e+01,4.301293047517266821e+00,5.298586755170264090e-02
1.918175750392018131e+01,4.293131669003869000e+00,6.855938008407468087e-02
1.934542218879762032e+01,4.284815268552638834e+00,8.679400921646722444e-02
1.950907892684237055e+01,4.276343873310625376e+00,1.062959578736741156e-01
1.967272756974157133e+01,4.267717511239935924e+00,1.187748955923698807e-01
1.983636797803004370e+01,4.258936210386537802e+00,1.342291468916123054e-01
1.999999999999998579e+01,4.499999999999996447e+00,1.237497477954332403e-01
1.999999999999998579e+01,5.124999999999996447e+00,4.774516355821284974e-01
1.999999999999998579e+01,4.999999999999996447e+00,1.992772408839103282e-01
1.999999999999998579e+01,4.624999999999996447e+00,1.372918065846148172e-01
1.999999999999998934e+01,5.249999999999997335e+00,3.244904805794901481e-01
1.999999999999998934e+01,4.874999999999997335e+00,1.939442332821961490e-01
1.999999999999998934e+01,4.749999999999997335e+00,1.508725701738736491e-01
1.999999999999998934e+01,4.249999999999997335e+00,9.349087543220722940e-02
1.999999999999998934e+01,4.374999999999997335e+00,1.351997638707420069e-01
2.015575707485108836e+01,5.234666895178548884e+00,2.341467825046291418e-01
2.031156073519482774e+01,5.219814627397665774e+00,1.196750317411110348e-01
2.046740953407548602e+01,5.205443763317894046e+00,1.140303778460964451e-01
2.062330202251757072e+01,5.191554851860984421e+00,1.032768866786065998e-01
2.077923674326378034e+01,5.178148424694142271e+00,9.831505845250450293e-02
2.093521223612944127e+01,5.165224995653114881e+00,9.447677423807593344e-02
2.109122703403025056e+01,5.152785060994956368e+00,9.173060128944332536e-02
2.124727966644311294e+01,5.140829099018909609e+00,8.933217940679011315e-02
2.140336865699399382e+01,5.129357570174927439e+00,8.740324116715542102e-02
2.155949252565811136e+01,5.118370916810021320e+00,8.552205823942372886e-02
2.171564978736342155e+01,5.107869563192456219e+00,8.372944337279361604e-02
2.187183895339262918e+01,5.097853915335114117e+00,8.195784847032980269e-02
2.202805853061396135e+01,5.088324360974561422e+00,8.034504538761767789e-02
2.218430702240527097e+01,5.079281269440758528e+00,7.870758015614030823e-02
2.234058292825232783e+01,5.070724991615026767e+00,7.730468483789970646e-02
2.249688474439989605e+01,5.062655859828176119e+00,7.591265108130065831e-02
2.265321096366049503e+01,5.055074187810830288e+00,7.485372109731004697e-02
2.280956007590674872e+01,5.047980270610612941e+00,7.378162759796455528e-02
2.296593056801240706e+01,5.041374384541460252e+00,7.313499752540147947e-02
2.312232092423264973e+01,5.035256787115742760e+00,7.246615143628498679e-02
2.327872962625619735e+01,5.029627716995278774e+00,7.216835409718602712e-02
2.343515515347315770e+01,5.024487393937013380e+00,7.185956097169141077e-02
2.359159598315457984e+01,5.019836018746660855e+00,7.181491071803734749e-02
2.374805059057906576e+01,5.015673773237491417e+00,7.170565607665295438e-02
2.390451744937599088e+01,5.012000820187213712e+00,7.173939589687615415e-02
2.406099503146991836e+01,5.008817303309238689e+00,7.172356674672546173e-02
2.421748180762883251e+01,5.006123347213915942e+00,7.178022310892917535e-02
2.437397624718678912e+01,5.003919057390860736e+00,7.174597243875027730e-02
2.453047681883113640e+01,5.002204520176547042e+00,7.172809466856021332e-02
2.468698199007654281e+01,5.000979802745360914e+00,7.162788385456948792e-02
2.484349022830789266e+01,5.000244953086348865e+00,7.159738479217737928e-02
2.499999999999998934e+01,4.999999999999997335e+00,7.148897124819039717e-02
2.515650977169207181e+01,5.000244953086347088e+00,7.154047893637190125e-02
2.531301800992342521e+01,5.000979802745361802e+00,7.153256282430371649e-02
2.546952318116884229e+01,5.002204520176547042e+00,7.168948218313384024e-02
2.562602375281319311e+01,5.003919057390860736e+00,7.177012699552684505e-02
2.578251819237114617e+01,5.006123347213916830e+00,7.202573844237920853e-02
2.593900496853005322e+01,5.008817303309237801e+00,7.221230201224887457e-02
2.609548255062398781e+01,5.012000820187214600e+00,7.241744316181841779e-02
2.625194940942090938e+01,5.015673773237491417e+00,7.252081576155491871e-02
2.640840401684539884e+01,5.019836018746659967e+00,7.262883604924026681e-02
2.656484484652681743e+01,5.024487393937012492e+00,7.263362644027400450e-02
2.672127037374378844e+01,5.029627716995278774e+00,7.255988745861907674e-02
2.687767907576732895e+01,5.035256787115742760e+00,7.237309149355174165e-02
2.703406943198756807e+01,5.041374384541460252e+00,7.227011714159425892e-02
2.719043992409322996e+01,5.047980270610613829e+00,7.202689507666829027e-02
2.734678903633948366e+01,5.055074187810829400e+00,7.196445050001237798e-02
2.750311525560007908e+01,5.062655859828177007e+00,7.187051814170118680e-02
2.765941707174764375e+01,5.070724991615025878e+00,7.240178624082500847e-02
2.781569297759470061e+01,5.079281269440757640e+00,7.304060764821340701e-02
2.797194146938600312e+01,5.088324360974558758e+00,7.443922499759741962e-02
2.812816104660734950e+01,5.097853915335114117e+00,7.597258483183325084e-02
2.828435021263655713e+01,5.107869563192456219e+00,7.802222624624727265e-02
2.844050747434186377e+01,5.118370916810020432e+00,8.009066767898588568e-02
2.859663134300598486e+01,5.129357570174929215e+00,8.226829593488241277e-02
2.875272033355686219e+01,5.140829099018909609e+00,8.446325679763221073e-02
2.890877296596971746e+01,5.152785060994955479e+00,8.672394647752336427e-02
2.906478776387052676e+01,5.165224995653113993e+00,8.917851582933947197e-02
2.922076325673620190e+01,5.178148424694141383e+00,9.201918296253261409e-02
2.937669797748240441e+01,5.191554851860984421e+00,9.596134012913186406e-02
2.953259046592449621e+01,5.205443763317894046e+00,1.018689682868392926e-01
2.968843926480514384e+01,5.219814627397663997e+00,1.065115406116317609e-01
2.984424292514888322e+01,5.234666895178547996e+00,1.992643199986086633e-01
2.999999999999998579e+01,4.624999999999997335e+00,1.439522605013954792e-01
2.999999999999998579e+01,4.999999999999997335e+00,2.017827061082676787e-01
2.999999999999998579e+01,5.124999999999997335e+00,4.956639583820870998e-01
2.999999999999998579e+01,4.499999999999997335e+00,1.308996377139653999e-01
2.999999999999998934e+01,4.874999999999997335e+00,1.997639235124697432e-01
2.999999999999998934e+01,4.249999999999997335e+00,1.034087086861264215e-01
2.999999999999998934e+01,4.374999999999997335e+00,1.442194555700396508e-01
2.999999999999998934e+01,5.249999999999997335e+00,3.023258124012270232e-01
2.999999999999998934e+01,4.749999999999997335e+00,1.567167767197012174e-01
3.016363202196993143e+01,4.258936210386537802e+00,1.403731285576202970e-01
3.032727243025840380e+01,4.267717511239935924e+00,1.253262173458839224e-01
3.049092107315761169e+01,4.276343873310626265e+00,1.124353359824960263e-01
3.065457781120236547e+01,4.284815268552638834e+00,9.287654952315826939e-02
3.081824249607979738e+01,4.293131669003868112e+00,7.458985291262892892e-02
3.098191498458273685e+01,4.301293047517265045e+00,5.897014096598911237e-02
