x,y,stress_mag
1.016315774027506080e+01,1.010693923282736550e+00,1.612461942955305918e-07
1.032352380637814804e+01,1.042592717138664415e+00,1.746555290147443665e-07
1.047835429045635891e+01,1.095150584360891965e+00,1.957411489414923011e-07
1.062499999999999822e+01,1.167468245269452698e+00,2.246928844964460783e-07
1.076095178626089677e+01,1.258308324635956987e+00,2.617556469908205135e-07
1.088388347648318089e+01,1.366116523516816450e+00,3.084539889487363520e-07
1.099169167536403613e+01,1.489048213739099458e+00,3.674416691787491836e-07
1.108253175473054419e+01,1.625000000000000000e+00,4.430928350699587734e-07
1.115484941563910404e+01,1.771645709543637537e+00,5.426824366983729825e-07
1.120740728286132715e+01,1.926476193621848187e+00,6.832874599168744335e-07
1.123930607671725390e+01,2.086842259724933868e+00,8.874916494896531910e-07
1.124999999999999112e+01,3.124999999999997780e+00,6.325797105733064286e-06
1.124999999999999112e+01,2.687499999999997780e+00,2.823077002903776454e-06
1.124999999999999112e+01,3.854166666666664742e+00,2.532472458689426944e-05
1.124999999999999112e+01,3.708333333333330817e+00,1.915864075755510323e-05
1.124999999999999112e+01,2.541666666666664298e+00,2.176479419862777412e-06
1.124999999999999112e+01,3.270833333333331261e+00,8.332000943193359566e-06
1.124999999999999467e+01,3.562499999999998668e+00,1.449871481256807338e-05
1.124999999999999467e+01,3.999999999999996447e+00,3.442616397968085258e-05
1.124999999999999467e+01,2.249999999999998668e+00,1.274500957981995592e-06
1.124999999999999467e+01,2.395833333333332149e+00,1.684914713180662454e-06
1.124999999999999467e+01,3.416666666666665630e+00,1.098790743381669184e-05
1.124999999999999467e+01,2.979166666666665186e+00,4.814213563458490221e-06
1.124999999999999467e+01,2.833333333333332149e+00,3.677781562494386023e-06
1.126069392328273189e+01,4.163157740275061691e+00,5.251297671393992525e-05
1.129259271713865864e+01,4.323523806378148038e+00,7.410194572244801342e-05
1.134515058436088175e+01,4.478354290456358022e+00,1.006209812161351804e-04
1.141746824526944515e+01,4.624999999999996447e+00,1.299138925686466257e-04
1.150830832463594966e+01,4.760951786260897656e+00,1.636306554639971561e-04
1.161611652351680846e+01,4.883883476483179997e+00,1.941807041106660811e-04
1.173904821373909257e+01,4.991691675364039682e+00,2.236283133048554150e-04
1.187499999999999289e+01,5.082531754730544193e+00,2.493647978224715193e-04
1.202164570954362866e+01,5.154849415639104038e+00,2.707515502460057250e-04
1.217647619362183775e+01,5.207407282861331588e+00,2.857193677908513563e-04
1.233684225972492499e+01,5.239306076717260119e+00,2.964077546193661771e-04
1.249999999999998934e+01,5.249999999999997335e+00,2.966073766678325053e-04
1.266315774027505192e+01,5.239306076717261007e+00,2.996927358561582910e-04
1.282352380637813738e+01,5.207407282861334252e+00,2.873372654348496950e-04
1.297835429045635003e+01,5.154849415639108479e+00,2.719452028374893171e-04
1.312499999999998757e+01,5.082531754730549522e+00,2.500391370190112859e-04
1.326095178626088789e+01,4.991691675364045899e+00,2.238507047958111968e-04
1.338388347648317378e+01,4.883883476483185326e+00,1.941744727435686579e-04
1.349169167536403613e+01,4.760951786260902097e+00,1.635057458600700094e-04
1.358253175473054064e+01,4.625000000000000888e+00,1.298969085882121588e-04
1.365484941563910049e+01,4.478354290456362463e+00,1.000980790827419719e-04
1.370740728286132715e+01,4.323523806378150702e+00,7.380924029232539590e-05
1.373930607671725745e+01,4.163157740275063468e+00,5.198854866817124412e-05
1.374999999999999289e+01,3.854166666666664742e+00,2.528786971066600018e-05
1.374999999999999289e+01,3.708333333333331705e+00,1.914490682658025257e-05
1.374999999999999289e+01,3.124999999999998224e+00,6.321385804642178784e-06
1.374999999999999289e+01,3.270833333333331705e+00,8.323767844778773596e-06
1.374999999999999289e+01,2.541666666666665630e+00,2.177443167727955886e-06
1.374999999999999289e+01,2.687499999999998668e+00,2.823641837464571728e-06
1.374999999999999467e+01,2.979166666666665186e+00,4.812251618927205577e-06
1.374999999999999467e+01,3.999999999999997335e+00,3.430861788138520052e-05
1.374999999999999467e+01,2.395833333333331705e+00,1.685779142530830634e-06
