x,y,stress_mag
8.291144372022779763e+00,1.210263483873107726e-01,2.372509922211579449e-05
8.443880017116194736e+00,1.707641679694926473e-01,2.872799393062941479e-05
8.594273351299824171e+00,2.271981967802650659e-01,3.396713712352966886e-05
8.742336460195977210e+00,2.894966076508456720e-01,3.942984979261866357e-05
8.888165403906581830e+00,3.568642277481759439e-01,4.511905028096531748e-05
9.031919321519175980e+00,4.285571061959588812e-01,5.103700482585020199e-05
9.173802395086672945e+00,5.038878452057644619e-01,5.719344254087429304e-05
9.314049495605837947e+00,5.822246076870919440e-01,6.359459172870522074e-05
9.452915446230003127e+00,6.629861793902741551e-01,7.025168560381028510e-05
9.590667406840783116e+00,7.456348020487543193e-01,7.717286517543055083e-05
9.727579747213919603e+00,8.296678908988738277e-01,8.436955141228378544e-05
9.863930775550125318e+00,9.146092988606669971e-01,9.185047112613941287e-05
1.000000075654392795e+01,1.000000475306106695e+00,9.962567228205121818e-05
1.013607073889549959e+01,1.085391649596053387e+00,1.077025856572676567e-04
1.027242177040369597e+01,1.170333048553995559e+00,1.160866315372921200e-04
1.040933411719378654e+01,1.254366123025076218e+00,1.247790466402363702e-04
1.054708608896886268e+01,1.337014729300029625e+00,1.337730685588967136e-04
1.068595205429515538e+01,1.417776278502246301e+00,1.430542387528732553e-04
1.082619917206641347e+01,1.496113009814204142e+00,1.525917562347222940e-04
1.096808226558268373e+01,1.571443710932276749e+00,1.623358792800259562e-04
1.111183620534587568e+01,1.643136545263825132e+00,1.722092698262375158e-04
1.125766517272339762e+01,1.710504113798096304e+00,1.820968439826798041e-04
1.140572830699993290e+01,1.772802464555557345e+00,1.918533431914389118e-04
1.155612166700466048e+01,1.829236424049024867e+00,2.012590152357538397e-04
1.170885733718982458e+01,1.878974165381416706e+00,2.100839211126756501e-04
1.186384190746022504e+01,1.921173918381123613e+00,2.179934748134065132e-04
1.202085839687353364e+01,1.955024612592360489e+00,2.247229221901767958e-04
1.217955736908945674e+01,1.979799467834873150e+00,2.298790042327178266e-04
1.233946338721596092e+01,1.994917115882572256e+00,2.332706430444142335e-04
1.250000083608727408e+01,1.999999996295172666e+00,2.346072717279812467e-04
1.266053828197436104e+01,1.994917016301372747e+00,2.339048947302637305e-04
1.282044429001025243e+01,1.979799262647886637e+00,2.311238822901962140e-04
1.297914324972704314e+01,1.955024304165584592e+00,2.265305846504365040e-04
1.313615972133414367e+01,1.921173517121756991e+00,2.202275376816370653e-04
1.329114426882311406e+01,1.878973682295508318e+00,2.132160623402513553e-04
1.344387991551934292e+01,1.829235867580364605e+00,2.034526798086459158e-04
1.359427325131651010e+01,1.772801843164976576e+00,1.942120825897039051e-04
1.374233636198633945e+01,1.710503435964446872e+00,1.849233180761482970e-04
1.388816530738755084e+01,1.643135818790699032e+00,1.753593531415372116e-04
