x,y,stress_mag
3.799646726398061780e+00,2.810199959741346287e+00,8.740088985543321976e-02
3.936457743867253001e+00,2.898413928742927137e+00,9.373321835798903434e-02
4.073879546673078167e+00,2.985673302193485146e+00,1.000037422162938505e-01
4.211930511427177670e+00,3.071933791288534277e+00,1.062095772698203183e-01
4.350628904568154098e+00,3.157149320315781438e+00,1.123472953741520147e-01
4.489995136288030153e+00,3.241268117548876226e+00,1.184110121547742034e-01
4.630049296917887247e+00,3.324236412365860094e+00,1.243993377078952550e-01
4.770810315402978397e+00,3.405999658010548270e+00,1.303102007512213500e-01
4.912295875106521770e+00,3.486502545582516710e+00,1.361436280360156237e-01
5.054522330801383134e+00,3.565689031196322745e+00,1.418991507053808943e-01
5.197504615145709828e+00,3.643502370086089126e+00,1.475791282959006689e-01
5.341256244068551595e+00,3.719884979475795550e+00,1.531852953639010195e-01
5.485790982400013505e+00,3.794775069970386383e+00,1.587137081175643838e-01
5.631122567350147712e+00,3.868106697763015855e+00,1.641601341615976650e-01
5.777263001219364646e+00,3.939812699004316521e+00,1.695237154329379825e-01
5.924222365715855254e+00,4.009824852016582675e+00,1.748012565773485461e-01
6.072008683628183690e+00,4.078073946828127738e+00,1.799914979458326902e-01
6.220627782676038997e+00,4.144489877946239353e+00,1.850912895910598599e-01
6.370083157455105116e+00,4.209001744571349235e+00,1.901003706462767451e-01
6.520376102126927087e+00,4.271537306358882624e+00,1.950137648756051778e-01
6.671505859347817591e+00,4.332022321388985908e+00,1.998275124216431775e-01
6.823469219029481003e+00,4.390381137892276797e+00,2.045344962801640409e-01
6.976260317522263499e+00,4.446536870980695610e+00,2.091298693398906117e-01
7.129870461162423290e+00,4.500411553982246460e+00,2.136032980300913431e-01
7.284287939482219087e+00,4.551926317098373254e+00,2.179462253001968608e-01
7.439497787520597427e+00,4.601001783699855352e+00,2.221404559025044467e-01
7.595480188618381590e+00,4.647563173971954065e+00,2.261886757113121538e-01
7.752210676632329545e+00,4.691540435794154362e+00,2.300894976030010419e-01
7.909661924719280535e+00,4.732862600796601704e+00,2.338386042751123828e-01
8.067803660572646862e+00,4.771457664627671846e+00,2.374220863614494303e-01
8.226602477724611617e+00,4.807252810867892912e+00,2.408299347413354330e-01
8.386021663274172866e+00,4.840174670594060480e+00,2.440320325475010266e-01
8.546020591221694218e+00,4.870152024608780827e+00,2.469995176641733570e-01
8.706552023000499574e+00,4.897132398547743293e+00,2.497447771738779687e-01
8.867564993209725799e+00,4.921071632886033775e+00,2.522877404476755459e-01
9.029006569298724472e+00,4.941924971216305806e+00,2.546192682213594405e-01
9.190821727163035249e+00,4.959647179427565611e+00,2.567343715105954161e-01
9.352953240429441095e+00,4.974192739579790690e+00,2.586110526677545818e-01
9.515341540221569971e+00,4.985516188933969417e+00,2.602085237829894759e-01
9.677923954921936911e+00,4.993586794796148531e+00,2.614959680965669442e-01
9.840635338794154308e+00,4.998401740783267932e+00,2.625244379247232973e-01
1.000341048094661645e+01,4.999961231388640570e+00,2.633070870472017933e-01
1.016618425975301676e+01,4.998265334393234838e+00,2.638547011121486485e-01
1.032889155026106209e+01,4.993313976092955464e+00,2.641577155354997708e-01
1.049146713453530033e+01,4.985106946601390199e+00,2.642048250931918751e-01
