x,y,stress_shear_10000
1.997409937898810028e+01,4.710983890485349157e+00,2.002690910064575558e+00
2.014511776094104789e+01,4.730869293444093238e+00,1.999970075572897077e+00
2.031622256688804740e+01,4.749996829906206308e+00,1.997349571753016528e+00
2.048191484054450839e+01,4.767795979181668642e+00,1.994907630050064107e+00
2.064768043206532155e+01,4.784898865511659771e+00,1.992554116685478105e+00
2.081351235714522829e+01,4.801311409005579733e+00,1.990285523666986744e+00
2.097941056157394968e+01,4.817039899814187009e+00,1.988099584495738092e+00
2.114537168599138539e+01,4.832089961460695804e+00,1.985994875696804218e+00
2.131139247632987832e+01,4.846466920876189910e+00,1.983970380493723207e+00
2.147746977166744742e+01,4.860175817470020476e+00,1.982025954850736404e+00
2.164360048794620184e+01,4.873221411340015408e+00,1.980161276820407101e+00
2.180978161856490871e+01,4.885608192308342979e+00,1.978376886204749496e+00
2.197601024590850471e+01,4.897340388949787737e+00,1.976673181701329218e+00
2.214228352097543606e+01,4.908421974587391823e+00,1.975050802687365437e+00
2.230859864660002856e+01,4.918856673330552987e+00,1.973513152223054679e+00
2.248249842588301206e+01,4.929076832929697893e+00,1.971994985041145343e+00
2.265643789881575287e+01,4.938597604335026148e+00,1.970565475333211802e+00
2.282384335961119248e+01,4.947101758454043541e+00,1.969280208011331190e+00
2.299128018059684919e+01,4.954964342142543998e+00,1.968084554634564443e+00
2.315776743601581700e+01,4.962147599356509176e+00,1.966984665540572053e+00
2.332428064895412234e+01,4.968701648614840316e+00,1.965975001370410036e+00
2.349081735985047814e+01,4.974628604324493608e+00,1.965056637113952620e+00
2.365737514665727304e+01,4.979930371034722469e+00,1.964230831038316305e+00
2.382395161454224919e+01,4.984608646123273701e+00,1.963498504485924778e+00
2.399054438954880553e+01,4.988664922385197542e+00,1.962860951649674668e+00
2.415715112069305803e+01,4.992100490515555933e+00,1.962319487497372617e+00
2.432376947658545419e+01,4.994916441067328350e+00,1.961874791937397555e+00
2.449039714021895975e+01,4.997113666077680705e+00,1.961527597427169534e+00
2.465703180736526434e+01,4.998692860459075682e+00,1.961279867955783462e+00
2.482851465808167291e+01,4.999673242406358575e+00,1.961129233035192154e+00
2.500000000000002487e+01,4.999999999999998224e+00,1.961081663843117662e+00
2.517148534191840170e+01,4.999673242406358575e+00,1.961140713563275462e+00
2.534296819263478540e+01,4.998692860459076570e+00,1.961302687386694554e+00
2.550960285978108999e+01,4.997113666077682481e+00,1.961560003106712413e+00
2.567623052341459200e+01,4.994916441067327462e+00,1.961916586390866746e+00
2.584284887930699526e+01,4.992100490515555045e+00,1.962368959946265479e+00
2.600945561045124066e+01,4.988664922385195766e+00,1.962917824704255354e+00
2.617604838545780055e+01,4.984608646123271924e+00,1.963562572047486077e+00
2.634262485334278026e+01,4.979930371034720693e+00,1.964301947458842346e+00
