x,y,stress_shear_1,stress_shear_10,stress_shear_20,stress_shear_30,stress_shear_40,stress_shear_50,stress_shear_60,stress_shear_70,stress_shear_80,stress_shear_90,stress_shear_100,stress_shear_1000,stress_shear_10000
1.207407282861334696e+00,1.926476193621848187e+00,4.562589952658270410e-07,4.562589952655544341e-06,9.125179905310341598e-06,1.368776985794880806e-05,1.825035981062012754e-05,2.281294976327118430e-05,2.737553971590573408e-05,3.193812966861193269e-05,3.650071962124276230e-05,4.106330957390390214e-05,4.562589952654491648e-05,4.562589952653759405e-04,4.562589952650829457e-03
1.239306076717262339e+00,2.086842259724933868e+00,5.990063576492946758e-07,5.990063576490752731e-06,1.198012715298091932e-05,1.797019072945674987e-05,2.396025430596117456e-05,2.995031788244867214e-05,3.594038145891448229e-05,4.193044503545602397e-05,4.792050861192617770e-05,5.391057218842425642e-05,5.990063576489706646e-05,5.990063576489646066e-04,5.990063576485863718e-03
1.249999999999999112e+00,3.270833333333331261e+00,5.587206615314288627e-06,5.587206615314322847e-05,1.117441323062867958e-04,1.676161984594424180e-04,2.234882646125734289e-04,2.793603307657206757e-04,3.352323969188813124e-04,3.911044630719929974e-04,4.469765292251481046e-04,5.028485953782850515e-04,5.587206615314388577e-04,5.587206615314531041e-03,5.587206615314600083e-02
1.249999999999999112e+00,2.541666666666664298e+00,1.473630320926246877e-06,1.473630320926080562e-05,2.947260641852117756e-05,4.420890962777355011e-05,5.894521283704190788e-05,7.368151604629983697e-05,8.841781925555188427e-05,1.031541224648391681e-04,1.178904256740859571e-04,1.326267288833487786e-04,1.473630320926018152e-04,1.473630320926034524e-03,1.473630320925845005e-02
1.249999999999999112e+00,2.687499999999997780e+00,1.909714134292526991e-06,1.909714134292434410e-05,3.819428268584806478e-05,5.729142402876848204e-05,7.638856537169611601e-05,9.548570671461895239e-05,1.145828480575395933e-04,1.336799894004779337e-04,1.527771307433941565e-04,1.718742720863183481e-04,1.909714134292389890e-04,1.909714134292396287e-03,1.909714134292286522e-02
1.249999999999999112e+00,3.124999999999997780e+00,4.252220900341046518e-06,4.252220900341050923e-05,8.504441800682099135e-05,1.275666270102401877e-04,1.700888360136421182e-04,2.126110450170548907e-04,2.551332540204779903e-04,2.976554630238679132e-04,3.401776720272855375e-04,3.826998810306915608e-04,4.252220900341094020e-04,4.252220900341185418e-03,4.252220900341219939e-02
1.249999999999999112e+00,3.854166666666664742e+00,1.687326121226459297e-05,1.687326121226461872e-04,3.374652242452939464e-04,5.061978363679721718e-04,6.749304484905865919e-04,8.436630606132428621e-04,1.012395672735936104e-03,1.181128284858502494e-03,1.349860896981175569e-03,1.518593509103807445e-03,1.687326121226479219e-03,1.687326121226519551e-02,1.687326121226532527e-01
1.249999999999999112e+00,3.708333333333330817e+00,1.278513271956256412e-05,1.278513271956261224e-04,2.557026543912532205e-04,3.835539815869055806e-04,5.114053087825057905e-04,6.392566359781398817e-04,7.671079631738029212e-04,8.949592903693632867e-04,1.022810617565013749e-03,1.150661944760626157e-03,1.278513271956276077e-03,1.278513271956307866e-02,1.278513271956320529e-01
1.249999999999999334e+00,2.249999999999998668e+00,8.625863470315915036e-07,8.625863470313375632e-06,1.725172694062601604e-05,2.587759041092415016e-05,3.450345388125155096e-05,4.312931735156081510e-05,5.175518082185572710e-05,6.038104429221470868e-05,6.900690776250563625e-05,7.763277123282364854e-05,8.625863470312406965e-05,8.625863470311858358e-04,8.625863470309106870e-03
1.249999999999999334e+00,3.416666666666665630e+00,7.353013676260527645e-06,7.353013676260590156e-05,1.470602735252123994e-04,2.205904102878352010e-04,2.941205470504246362e-04,3.676506838130350237e-04,4.411808205756646015e-04,5.147109573382268504e-04,5.882410941008489472e-04,6.617712308634469747e-04,7.353013676260673369e-04,7.353013676260849660e-03,7.353013676260959641e-02
