x,y,stress_shear_10000
2.010285588430002335e+01,1.291231518677078971e-01,1.861868960110891480e-01
2.020573867091576759e+01,2.582248672678136292e-01,1.904855281327340055e-01
2.030872774879487608e+01,3.872417989745342015e-01,1.906068534242789658e-01
2.041190233137820442e+01,5.161104154746841699e-01,1.860108971506149178e-01
2.051534136528302099e+01,6.447668390045672160e-01,1.765644926107876878e-01
2.061912258734902892e+01,7.731473664697020576e-01,1.625662600330207153e-01
2.072331862051734674e+01,9.011914196265525812e-01,1.443843299728441998e-01
2.082799993830527541e+01,1.028839000561696082e+00,1.224708114295933598e-01
2.093323633813315965e+01,1.156029300482232847e+00,9.746432402981075604e-02
2.103909681938503695e+01,1.282700600468178020e+00,7.064218849888082019e-02
2.114565228556659804e+01,1.408787780125821287e+00,4.622316541681392027e-02
2.125298918212778432e+01,1.534210319468203076e+00,4.023385096008077338e-02
2.136119858959773055e+01,1.658880773983526735e+00,6.431606365996696273e-02
2.147036989551071073e+01,1.782709676835178891e+00,1.020135992553920096e-01
2.158059051422359076e+01,1.905605393695580352e+00,1.454951277488811534e-01
2.169195172438331198e+01,2.027468366443375913e+00,1.928584455256463770e-01
2.180456553392503594e+01,2.148174553291926969e+00,2.434742838247005436e-01
2.191854609916986973e+01,2.267590757078779440e+00,2.970995078744371742e-01
2.203400348712029810e+01,2.385579444427388118e+00,3.536255865595553383e-01
2.215104356578845923e+01,2.501998054523278725e+00,4.130790966323013014e-01
2.226978986466392740e+01,2.616675387231786498e+00,4.753868048872552099e-01
2.239038986577579848e+01,2.729401153335138996e+00,5.405327541456232954e-01
2.251298439344877167e+01,2.839953912149550064e+00,6.085307774652478630e-01
2.263770376538698414e+01,2.948103210946571018e+00,6.795858000717152070e-01
2.276468057992083516e+01,3.053592041637917198e+00,7.536827555615405183e-01
2.289408303585244653e+01,3.156089673909678428e+00,8.305935075010023594e-01
2.302607087036020062e+01,3.255234514324088391e+00,9.102264081611389779e-01
2.316077998362534274e+01,3.350647543906383863e+00,9.927772492107735935e-01
2.329833125674882055e+01,3.441913398199675456e+00,1.078127727079478460e+00
2.343886266653989736e+01,3.528517327309963481e+00,1.165460708791227651e+00
2.358248180738177879e+01,3.609894915946786131e+00,1.254212231663429877e+00
2.372924369922199261e+01,3.685453598095650651e+00,1.343845977670194758e+00
2.387914903165876623e+01,3.754561154644620036e+00,1.433656602111146539e+00
2.403214479595359876e+01,3.816520361824648155e+00,1.522069410433620540e+00
2.418810034096918216e+01,3.870590750303369632e+00,1.607232129506442897e+00
2.434678224989602668e+01,3.916032364791714127e+00,1.686233251453033599e+00
2.450782096539040822e+01,3.952236107938825516e+00,1.759334848594445777e+00
2.467075457905557911e+01,3.978617866675593806e+00,1.824303817845498221e+00
2.483503252115205839e+01,3.994598098024841892e+00,1.876572087961865920e+00
2.499999999999999645e+01,3.999925484687916200e+00,1.914590032398484798e+00
2.516496747884793450e+01,3.994598098024841892e+00,1.942055330024813342e+00
2.532924542094441733e+01,3.978617866675593806e+00,1.955426030343260901e+00
2.549217903460958112e+01,3.952236107938824183e+00,1.953475433359532998e+00
2.565321775010396621e+01,3.916032364791713238e+00,1.939629384666611944e+00
2.581189965903081074e+01,3.870590750303368299e+00,1.917662962790672054e+00
2.596785520404640479e+01,3.816520361824646823e+00,1.885274759152903323e+00
