arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
2.333748375096770999e+01,2.034828661084607138e+00,2.343533632840423930e+00,2.924601336539232488e+00,3.922905052090618128e+00,5.909894711779577925e+00
2.350537931752143450e+01,2.039160244791868415e+00,2.343086293001229059e+00,2.925168099726972670e+00,3.927897217696974863e+00,5.907113585237532050e+00
2.367327488407515901e+01,2.043761944523637020e+00,2.342458100204891203e+00,2.925481915040498926e+00,3.933065447617632771e+00,5.907676205182156082e+00
2.384117045062888351e+01,2.048667127806111932e+00,2.341641708215156825e+00,2.925509074449899050e+00,3.938353160822372523e+00,5.911535290362658124e+00
2.400906601718260802e+01,2.053910529483098824e+00,2.340629864894708589e+00,2.925221671729342443e+00,3.943688710224118044e+00,5.918621737980502395e+00
2.417696158373633253e+01,2.059531990073142804e+00,2.339415471595716500e+00,2.924582686445707402e+00,3.948974734816903531e+00,5.928894423569504468e+00
2.434485715029005704e+01,2.065580293788035871e+00,2.337995014690128048e+00,2.923564550812320473e+00,3.954094578584986142e+00,5.942160068012033669e+00
2.451275271684378154e+01,2.072107249945744023e+00,2.336363729332056050e+00,2.922136984165371931e+00,3.959017905524726100e+00,5.958177197135968051e+00
2.468064828339750605e+01,2.079172077133753849e+00,2.334520773080690059e+00,2.920269235327466184e+00,3.963675234651425239e+00,5.976714360543956772e+00
2.484854384995123056e+01,2.086841379033274269e+00,2.332465290920395784e+00,2.917913747445662676e+00,3.967963502845868184e+00,5.997452260561662918e+00
2.501643941650495506e+01,2.095190488190805667e+00,2.330201117698088353e+00,2.915047815694965294e+00,3.971808972129186266e+00,6.020082273213571256e+00
2.518433498305867957e+01,2.104304096442718208e+00,2.327732906652734801e+00,2.911645150321129361e+00,3.975135654688512155e+00,6.044235288939555417e+00
2.535223054961240408e+01,2.114277911058489057e+00,2.325068357649580530e+00,2.907672510083224804e+00,3.977859912586212854e+00,6.069567425577419684e+00
2.552012611616612858e+01,2.125218795150062956e+00,2.322214453153636615e+00,2.903105259423370832e+00,3.979909596157786389e+00,6.095677002425152757e+00
2.568802168271985309e+01,2.137248822174999230e+00,2.319187481762685188e+00,2.897914458428404227e+00,3.981208717675419617e+00,6.122183003747705854e+00
2.585591724927357760e+01,2.150505035751055338e+00,2.316006747984080238e+00,2.892074301320946894e+00,3.981689047430810202e+00,6.148739342504374150e+00
2.602381281582730210e+01,2.165142567163481413e+00,2.312693703837342518e+00,2.885560899491823594e+00,3.981276119401288671e+00,6.174976565489070701e+00
2.619170838238102661e+01,2.181335414027933517e+00,2.309276037934619996e+00,2.878348592017830221e+00,3.979913394546168437e+00,6.200353204490240522e+00
2.635960394893475112e+01,2.199281565116841364e+00,2.305787001533608827e+00,2.870415764874162612e+00,3.977538121907159940e+00,6.224625879006942419e+00
2.652749951548847562e+01,2.219203839581040949e+00,2.302266143619475791e+00,2.861740792570731440e+00,3.974086367482968729e+00,6.247526998214799399e+00
2.669539508204220013e+01,2.241354702362747808e+00,2.298760176401993149e+00,2.852306649687400775e+00,3.969486984580033795e+00,6.268708636749003027e+00
2.686329064859592464e+01,2.266017542461129963e+00,2.295323815353938368e+00,2.842095685265322302e+00,3.963695842087960663e+00,6.287856519793556309e+00
2.703118621514964914e+01,2.293516876472840860e+00,2.292021258787191762e+00,2.831093704233193620e+00,3.956668884182331869e+00,6.304727582121484986e+00
2.719908178170337365e+01,2.324215328492908128e+00,2.288927323832919303e+00,2.819288076740829929e+00,3.948354282915917057e+00,6.319051465577398830e+00
2.736697734825709816e+01,2.358530995601949787e+00,2.286128079679454750e+00,2.806668650387006192e+00,3.938717771765135822e+00,6.330642269879739992e+00
