arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
2.065115468610811789e+01,1.987307513529945391e+00,2.334954608060252568e+00,2.904506429143387525e+00,3.905264619459814401e+00,6.240221842528495877e+00
2.081905025266184239e+01,1.989478749452918471e+00,2.335886267780409309e+00,2.905388051801126803e+00,3.902188204612640376e+00,6.216914724386858992e+00
2.098694581921556690e+01,1.991732912449580839e+00,2.336819462052561747e+00,2.906409548256688069e+00,3.899623787715863266e+00,6.192285127448049487e+00
2.115484138576929141e+01,1.994072102966772508e+00,2.337748315256620746e+00,2.907552876780195028e+00,3.897620386457142150e+00,6.166601390299463858e+00
2.132273695232301591e+01,1.996499335732338398e+00,2.338655166563861076e+00,2.908812300802283701e+00,3.896204750643746273e+00,6.140244829893942047e+00
2.149063251887674042e+01,1.999019462190991137e+00,2.339528472102208490e+00,2.910161170826468968e+00,3.895381992570531970e+00,6.113666719689114792e+00
2.165852808543046493e+01,2.001633456086881147e+00,2.340357846556864185e+00,2.911586620422502936e+00,3.895142967152867897e+00,6.087231485903754624e+00
2.182642365198418943e+01,2.004345644251249059e+00,2.341129649507105448e+00,2.913062689916200210e+00,3.895524370985352647e+00,6.061300828192346835e+00
2.199431921853791394e+01,2.007165973658432190e+00,2.341832497192082752e+00,2.914571704931310236e+00,3.896484917979861962e+00,6.036285186108300671e+00
2.216221478509163845e+01,2.010101261531058725e+00,2.342453510128278626e+00,2.916095663948745642e+00,3.898044282805763316e+00,6.012555411304553843e+00
2.233011035164536295e+01,2.013159809241622078e+00,2.342981226632574021e+00,2.917605049363588776e+00,3.900181865067608111e+00,5.990486081026968002e+00
2.249800591819908746e+01,2.016352424867936310e+00,2.343403044176527672e+00,2.919044882085833681e+00,3.902858094374643372e+00,5.970408109179953016e+00
2.266590148475281197e+01,2.019691301584535026e+00,2.343707637062386606e+00,2.920411925634793349e+00,3.906035425907997016e+00,5.952655418905774987e+00
2.283379705130653647e+01,2.023190707343081485e+00,2.343886046951730862e+00,2.921688547853389384e+00,3.909677452832859057e+00,5.937496233124011979e+00
2.300169261786026098e+01,2.026867042471110381e+00,2.343927727753744250e+00,2.922829860660723700e+00,3.913734417532969800e+00,5.925176774617398223e+00
