x,y,z,shear_stress
-5.0,0.3535353535353538,0,2.830554386927495e-09
-5.0,0.45454545454545414,0,0.0
-5.0,0.5555555555555554,0,5.627142085650908e-09
-5.0,0.6565656565656566,0,5.604610392335526e-09
-5.0,0.7575757575757578,0,5.5784366044071585e-09
-5.0,0.8585858585858581,0,5.54867192686247e-09
-5.0,0.9595959595959593,0,0.0
-5.0,1.0606060606060606,0,0.0
-5.0,1.1616161616161618,0,0.0
-5.0,1.262626262626262,0,0.0
-5.0,1.3636363636363633,0,0.0
-5.0,1.4646464646464645,0,0.0
-5.0,1.5656565656565657,0,0.0
-5.0,1.666666666666667,0,0.0
-5.0,1.7676767676767673,0,0.0
-5.0,1.8686868686868685,0,0.0
-5.0,1.9696969696969697,0,0.0
-5.0,2.070707070707071,0,0.0
-5.0,2.1717171717171713,0,0.0
-5.0,2.2727272727272725,0,0.0
-5.0,2.3737373737373737,0,0.0
-5.0,2.474747474747475,0,1.859046049836369e-08
-5.0,2.5757575757575752,0,0.0
-5.0,2.6767676767676765,0,0.0
-5.0,2.7777777777777777,0,0.0
-5.0,2.878787878787879,0,1.7300924822718082e-08
-5.0,2.9797979797979792,0,1.696202853420786e-08
-5.0,3.0808080808080813,0,0.0
-5.0,3.1818181818181817,0,0.0
-5.0,3.282828282828282,0,0.0
-5.0,3.383838383838384,0,0.0
-5.0,3.4848484848484844,0,0.0
-5.0,3.5858585858585865,0,0.0
-5.0,3.686868686868687,0,0.0
-5.0,3.787878787878787,0,0.0
-5.0,3.8888888888888893,0,2.7414133307646852e-08
-5.0,3.9898989898989896,0,0.0
-5.0,4.09090909090909,0,2.5903246482297956e-08
-5.0,4.191919191919192,0,0.0
-5.0,4.292929292929292,0,2.4381895696664273e-08
-5.0,4.3939393939393945,0,2.3618949666393293e-08
-5.0,4.494949494949495,0,0.0
-5.0,4.595959595959595,0,2.209160130190111e-08
-5.0,4.696969696969697,0,0.0
-5.0,4.797979797979798,0,2.0566125180826397e-08
-5.0,4.8989898989899,0,1.980542322898808e-08
-5.0,5.0,0,0.0
-4.898989898989899,-5.0,0,0.0
-4.898989898989899,-4.898989898989899,0,1.9046739214200373e-08
-4.898989898989899,-4.797979797979798,0,1.9821089067834933e-08
-4.898989898989899,-4.696969696969697,0,0.0
-4.898989898989899,-4.595959595959596,0,2.1375543043267415e-08
-4.898989898989899,-4.494949494949495,0,0.0
-4.898989898989899,-4.393939393939394,0,0.0
-4.898989898989899,-4.292929292929293,0,2.371338402319608e-08
-4.898989898989899,-4.191919191919192,0,0.0
-4.898989898989899,-4.090909090909091,0,2.5269005495991386e-08
-4.898989898989899,-3.9898989898989896,0,2.604395581287314e-08
-4.898989898989899,-3.888888888888889,0,2.6816055597528842e-08
-4.898989898989899,-3.787878787878788,0,2.7584563545191898e-08
-4.898989898989899,-3.686868686868687,0,2.8348712171792362e-08
-4.898989898989899,-3.5858585858585856,0,5.821541717054098e-08
-4.898989898989899,-3.484848484848485,0,2.986073541689658e-08
-4.898989898989899,-3.383838383838384,0,3.060695191897252e-08
-4.898989898989899,-3.282828282828283,0,3.134549523446762e-08
-4.898989898989899,-3.1818181818181817,0,3.207548184318024e-08
-4.898989898989899,-3.080808080808081,0,3.279600918791484e-08
-4.898989898989899,-2.9797979797979797,0,3.3506157482922874e-08
-4.898989898989899,-2.878787878787879,0,3.420499170547688e-08
-4.898989898989899,-2.7777777777777777,0,3.489156376993678e-08
-4.898989898989899,-2.676767676767677,0,3.5564914882033083e-08
-4.898989898989899,-2.5757575757575757,0,3.622407806934527e-08
-4.898989898989899,-2.474747474747475,0,3.686808088210876e-08
-4.898989898989899,-2.3737373737373737,0,3.749594825655854e-08
-4.898989898989899,-2.272727272727273,0,3.810670553103277e-08
-4.898989898989899,-2.1717171717171717,0,3.869938160303757e-08
-4.898989898989899,-2.070707070707071,0,5.890951832016475e-08
-4.898989898989899,-1.9696969696969697,0,3.9826643341969884e-08
-4.898989898989899,-1.868686868686869,0,4.0359334696160476e-08
-4.898989898989899,-1.7676767676767677,0,4.087016327415807e-08
-4.898989898989899,-1.6666666666666665,0,4.135822697984793e-08
-4.898989898989899,-1.5656565656565657,0,5.2278310334142076e-08
-4.898989898989899,-1.4646464646464645,0,4.2262577790136394e-08
-4.898989898989899,-1.3636363636363638,0,5.3346497537328654e-08
-4.898989898989899,-1.2626262626262625,0,4.306572687701817e-08
-4.898989898989899,-1.1616161616161618,0,4.3427421137365485e-08
-4.898989898989899,-1.0606060606060606,0,4.37615799357512e-08
-4.898989898989899,-0.9595959595959593,0,3.3050660992372095e-08
-4.898989898989899,-0.858585858585859,0,3.880162888547993e-08
-4.898989898989899,-0.7575757575757578,0,4.4592537212646075e-08
-4.898989898989899,-0.6565656565656566,0,3.9209190019482405e-08
-4.898989898989899,-0.5555555555555554,0,3.9373400506393234e-08
-4.898989898989899,-0.45454545454545503,0,4.5155159957825516e-08
-4.898989898989899,-0.3535353535353538,0,4.528114312583251e-08
-4.898989898989899,-0.2525252525252526,0,4.253986930889922e-08
-4.898989898989899,-0.15151515151515138,0,4.401914312938248e-08
-4.898989898989899,-0.050505050505050164,0,4.36945737904136e-08
-4.898989898989899,0.050505050505050164,0,4.333933335309317e-08
-4.898989898989899,0.15151515151515138,0,4.401914312938248e-08
-4.898989898989899,0.2525252525252526,0,4.253986930889922e-08
-4.898989898989899,0.3535353535353538,0,4.245107168046798e-08
-4.898989898989899,0.45454545454545414,0,4.5155159957825516e-08
-4.898989898989899,0.5555555555555554,0,3.9373400506393234e-08
-4.898989898989899,0.6565656565656566,0,3.9209190019482405e-08
-4.898989898989899,0.7575757575757578,0,3.9018470061065315e-08
-4.898989898989899,0.8585858585858581,0,3.880162888547993e-08
-4.898989898989899,0.9595959595959593,0,4.406754798982946e-08
-4.898989898989899,1.0606060606060606,0,4.37615799357512e-08
-4.898989898989899,1.1616161616161618,0,4.3427421137365485e-08
-4.898989898989899,1.262626262626262,0,4.306572687701817e-08
-4.898989898989899,1.3636363636363633,0,4.267719802986292e-08
-4.898989898989899,1.4646464646464645,0,4.2262577790136394e-08
-4.898989898989899,1.5656565656565657,0,4.182264826731367e-08
-4.898989898989899,1.666666666666667,0,4.135822697984793e-08
-4.898989898989899,1.7676767676767673,0,4.087016327415808e-08
-4.898989898989899,1.8686868686868685,0,4.035933469616048e-08
-4.898989898989899,1.9696969696969697,0,3.9826643341969884e-08
-4.898989898989899,2.070707070707071,0,3.927301221344317e-08
-4.898989898989899,2.1717171717171713,0,3.8699381603037576e-08
-4.898989898989899,2.2727272727272725,0,3.8106705531032775e-08
